id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
1043506,Home in Hillarys · ★4.83 · 1 bedroom · 1 bed · 2 shared baths,5745887,Carmen,JOONDALUP,-31.80262,115.75021,Private room in home,Private room,2,,1.0,1,365,42,4.83,0.36
2172416,Home in Dawesville · ★4.0 · 3 bedrooms · 5 beds · 2 baths,11083091,Karin,MANDURAH,-32.62821,115.64063,Entire home,Entire home/apt,5,3.0,5.0,7,0,5,4.0,0.05
2178385,Guest suite in Mosman Park · ★4.80 · 1 bedroom · 1 bed · 1 private bath,11110801,Shelley,MOSMAN PARK,-32.01205,115.76062,Private room in guest suite,Private room,2,,1.0,2,328,52,4.8,0.93
2178387,Bed and breakfast in Mosman Park · ★4.82 · 1 bedroom · 2 beds · 1 private bath,11110801,Shelley,MOSMAN PARK,-32.01051,115.76186,Private room in bed and breakfast,Private room,2,,2.0,2,331,73,4.82,0.64
2198650,Home in South Fremantle · ★4.75 · 2 bedrooms · 3 beds · 1 private bath,7083929,Isabel,FREMANTLE,-32.07489,115.75577,Private room in home,Private room,4,,3.0,2,252,36,4.75,0.33
173260,Home in Falcon · ★4.75 · 3 bedrooms · 7 beds · 2 baths,827051,Carol,MANDURAH,-32.58661,115.65384,Entire home,Entire home/apt,8,3.0,7.0,2,314,55,4.75,0.43
1049429,Home in Hillarys · ★4.52 · 1 bedroom · 2 beds · 1.5 shared baths,5745887,Carmen,JOONDALUP,-31.80247,115.75052,Private room in home,Private room,3,1.0,2.0,1,365,24,4.52,0.2
1060326,Place to stay in Hillarys · ★4.61 · 4 bedrooms · 8 beds · 2.5 shared baths,5745887,Carmen,JOONDALUP,-31.80234,115.75013,Private room,Private room,3,,8.0,1,364,41,4.61,0.38
1073798,Home in Innaloo · ★4.77 · 3 bedrooms · 3 beds · 1.5 baths,5906880,Heather,STIRLING,-31.89196,115.79594,Entire home,Entire home/apt,4,3.0,3.0,7,172,15,4.77,0.2
2224018,Home in Exmouth · ★4.67 · 4 bedrooms · 6 beds · 2.5 baths,11168796,Helen,EXMOUTH,-21.92983,114.122,Entire home,Entire home/apt,8,4.0,6.0,3,196,30,4.67,0.41
231540,Home in Bridgetown · ★4.88 · 3 bedrooms · 9 beds · 3 baths,747002,Aimee,BRIDGETOWN-GREENBUSHES,-33.97094,116.148,Entire home,Entire home/apt,12,3.0,9.0,2,285,169,4.88,1.42
2234000,Bungalow in Coogee · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,11404560,Peter,COCKBURN,-32.11502,115.77406,Private room in bungalow,Private room,2,,1.0,2,176,19,5.0,0.17
2268971,Rental unit in Clarkson · ★4.50 · 1 bedroom · 1 bed · 1 private bath,10814906,Sufyan,WANNEROO,-31.68757,115.71828,Private room in rental unit,Private room,2,1.0,1.0,2,0,24,4.5,0.22
1078040,Home in Gnarabup · ★4.86 · 3 bedrooms · 4 beds · 2.5 baths,5931511,Tracy,AUGUSTA-MARGARET RIVER,-33.99536,114.99975,Entire home,Entire home/apt,6,3.0,4.0,3,234,88,4.86,0.76
1084456,Cabin in Dwellingup · ★4.76 · 1 bedroom · 1 bed · 1 bath,5961054,Robert,MURRAY,-32.71157,116.06081,Entire cabin,Entire home/apt,2,1.0,1.0,1,317,230,4.76,2.82
253579,Villa in Melville · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,1331712,Steve,MELVILLE,-32.03664,115.80028,Private room in villa,Private room,2,,1.0,5,202,41,4.92,0.29
1089259,Bed and breakfast in Alexander Heights · 1 bedroom · 1 bed · 1 private bath,5984984,Natalie,WANNEROO,-31.82967185974121,115.86812591552734,Private room in bed and breakfast,Private room,2,,1.0,1,356,0,,
1095255,Townhouse in North Fremantle · ★4.80 · 2 bedrooms · 2 beds · 2.5 baths,6017588,Craig,FREMANTLE,-32.03704,115.75579,Entire townhouse,Entire home/apt,4,2.0,2.0,3,104,43,4.8,0.36
1116909,Home in Thornlie · ★4.61 · 1 bedroom · 1 bed · 1.5 shared baths,6115114,Shaun,GOSNELLS,-32.0491,115.96087,Private room in home,Private room,2,,1.0,5,308,62,4.61,0.53
2299124,Home in Quindalup · ★4.89 · 2 bedrooms · 2 beds · 2.5 baths,10598199,Janine,BUSSELTON,-33.634689,115.153534,Entire home,Entire home/apt,4,2.0,2.0,1,311,118,4.89,1.04
253921,Townhouse in East Fremantle · ★4.82 · 1 bedroom · 1 bed · 1 private bath,256425,Felicia,EAST FREMANTLE,-32.03692,115.76475,Private room in townhouse,Private room,1,,1.0,30,358,11,4.82,0.08
2299560,Home in Albany /Port Albany · ★4.74 · 2 bedrooms · 1 bed · 2 shared baths,11746651,Robert,ALBANY,-35.03102,117.89985,Private room in home,Private room,4,,1.0,3,0,32,4.74,0.28
254578,Home in Lancelin · 2 bedrooms · 4 beds · 1 bath,1337347,Nicolas,GINGIN,-31.02462,115.33617,Entire home,Entire home/apt,4,2.0,4.0,14,316,2,5.0,0.02
2299616,Home in Emu Point · ★4.94 · 5 bedrooms · 8 beds · 2.5 baths,11746880,Jennifer,ALBANY,-34.99948,117.9466,Entire home,Entire home/apt,12,5.0,8.0,2,258,95,4.94,1.49
